id,Название телефона,Объём постоянной памяти,Цена
1,Смартфон Apple iPhone 12 mini 64GB / 2BMGDY3 восстановленный Breezy Грейд B (белый),64 Гб,179900
2,Смартфон Apple iPhone 12 mini 64GB / 2QMGDY3 восстановленный Breezy Грейд A+(Q) (белый),64 Гб,189900
3,Смартфон Apple iPhone 12 mini 64GB / 2QMGDX3 восстановленный Breezy Грейд A+(Q) (черный),64 Гб,189900
4,Смартфон Apple iPhone 12 mini 64GB / 2QMJQF3 восстановленный Breezy Грейд A+(Q) (фиолетовый),64 Гб,189900
5,Смартфон Apple iPhone 12 mini 128GB / 2BMGE33 восстановленный Breezy Грейд B (черный),128 Гб,189900
6,Смартфон Apple iPhone 12 Mini 64GB A2399 / 2QMGE23 восстановленный (зеленый),64 Гб,189900
7,Смартфон Apple iPhone 12 mini 64GB / 2CMGDX3 восстановленный Breezy Грейд C (черный),64 Гб,159900
8,,64 Гб,Нет цены
9,Смартфон Apple iPhone 12 mini 128GB / 2BMGE53 восстановленный Breezy Грейд B (красный),128 Гб,189900
10,Смартфон Apple iPhone 12 mini 64GB / 2QMGE03 восстановленный Breezy Грейд A+(Q) (красный),64 Гб,189900
11,Смартфон Apple iPhone 12 Mini 128GB / 2BMGE73 восстановленный Breezy Грейд B (зеленый),128 Гб,189900
12,Смартфон Apple iPhone 12 mini 64GB A2399 / 2AMGE23 восстанов. Breezy (зеленый),64 Гб,199900
13,Смартфон Apple iPhone 12 mini 64GB / 2BMGDX3 восстановленный Breezy Грейд B (черный),64 Гб,Нет цены
14,Смартфон Apple iPhone 12 mini 128GB / 2BMGE63 восстановленный Breezy Грейд B (синий),128 Гб,Нет цены
15,Смартфон Apple iPhone 12 mini 128GB / 2BMJQG3 восстановленный Breezy Грейд B (фиолетовый),128 Гб,Нет цены
16,Смартфон Apple iPhone 12 mini 64GB / 2AMGE13 восстановленный Breezy Грейд A (синий),64 Гб,Нет цены
17,Смартфон Apple iPhone 12 mini 256GB / 2BMGED3 восстановленный Breezy Грейд B (синий),256 Гб,Нет цены
18,Смартфон Apple iPhone 12 Mini 64GB A2399/2BMGE13 восстановленный Breezy Грейд B (синий),64 Гб,Нет цены
19,Смартфон Apple iPhone 12 mini 128GB / 2BMGE43 восстановленный Breezy Грейд B (белый),128 Гб,Нет цены
20,Смартфон Apple iPhone 12 mini 64GB / 2QMGE13 восстановленный Blue Грейд С (синий),64 Гб,Нет цены
21,Смартфон Apple iPhone 12 Mini 64GB A2399 / 2BMGE03 восстановлен Breezy Грейд B (красный),64 Гб,Нет цены
22,Смартфон Apple iPhone 12 mini 64GB / 2AMGDX3 восстановленный Breezy Грейд A (черный),64 Гб,Нет цены
23,Смартфон Apple iPhone 12 mini 256GB / 2BMGEC3 восстановленный Breezy Грейд B (красный),256 Гб,Нет цены
24,Смартфон Apple iPhone 12 mini 256GB / 2CMGED3 восстановленный Breezy Грейд C (синий),256 Гб,Нет цены
25,Смартфон Apple iPhone 12 mini 64GB / 2AMGDY3 восстановленный Breezy Грейд A (белый),64 Гб,Нет цены
