Название телефона;Количество встроенной памяти;Стоимость
Смартфон Apple iPhone 12 mini 64GB / 2BMGDY3 восстановленный Breezy Грейд B (белый);64GB;1799.00
Смартфон Apple iPhone 12 mini 64GB / 2QMGDY3 восстановленный Breezy Грейд A+(Q) (белый);64GB;1899.00
Смартфон Apple iPhone 12 mini 64GB / 2QMGDX3 восстановленный Breezy Грейд A+(Q) (черный);64GB;1899.00
Смартфон Apple iPhone 12 mini 64GB / 2QMJQF3 восстановленный Breezy Грейд A+(Q) (фиолетовый);64GB;1899.00
Смартфон Apple iPhone 12 mini 128GB / 2BMGE33 восстановленный Breezy Грейд B (черный);128GB;1899.00
Смартфон Apple iPhone 12 Mini 64GB A2399 / 2QMGE23 восстановленный (зеленый);64GB;1899.00
Смартфон Apple iPhone 12 mini 64GB / 2CMGDX3 восстановленный Breezy Грейд C (черный);64GB;1599.00
Смартфон Apple iPhone 12 mini 64GB / 2CMGE13 восстановленный Breezy Грейд C (синий);64GB;1499.00
Смартфон Apple iPhone 12 mini 128GB / 2BMGE53 восстановленный Breezy Грейд B (красный);128GB;1899.00
Смартфон Apple iPhone 12 mini 64GB / 2QMGE03 восстановленный Breezy Грейд A+(Q) (красный);64GB;1899.00
Смартфон Apple iPhone 12 Mini 128GB / 2BMGE73 восстановленный Breezy Грейд B (зеленый);128GB;1899.00
Смартфон Apple iPhone 12 mini 64GB A2399 / 2AMGE23 восстанов. Breezy (зеленый);64GB;1999.00
